ID_OFICIAL;NOMBRE_BASE_OFICIAL;Escuela;URL Bibliografia;FOTO_URL
45;Animación 3D;Artes e Industrias Creativas;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=139&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-animacion-3D.jpg?updatedAt=1738193910133
46;Trabajo Social;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=112&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/trabajo-social.jpg?updatedAt=1738198962069
47;Técnico Asistente Educación Especial;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=63&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-asistente-en-educacion-especial.jpg?updatedAt=1738198961694
48;Administración Pública;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=123&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/administracion-publica.jpg?updatedAt=1738198961722
49;Asistente de Párvulos;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=5&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-educacion-parvularia-1-y-2-basico.jpg?updatedAt=1738198961715
50;Técnico Administración Pública;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=124&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-administracion-publica.jpg?updatedAt=1738198961935
51;Psicopedagogía;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=55&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/psicopedagogia.jpg?updatedAt=1738198962268
52;Técnico Jurídico;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=109&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-juridico.jpg?updatedAt=1738198961765
53;Técnico en Trabajo Social;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=106&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-trabajo-social.jpg?updatedAt=1738198962098
54;Técnico Educación Parvularia 1° y 2° Básico;Desarrollo Social y Educación;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=166&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-educacion-parvularia-1-y-2-basico.jpg?updatedAt=1738198961715
