Escuela;Nombre Carrera;URL Carrera;FOTO_URL
Arte & Industrias Creativas;TÉCNICO EN DISEÑO DE ESPACIOS Y EQUIPAMIENTO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=75&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-de-espacios-y-equipamiento.jpg?updatedAt=1738193910081
Arte & Industrias Creativas;TÉCNICO EN DISEÑO DE VESTUARIO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=76&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-de-vestuario.jpg?updatedAt=1738193910020
Arte & Industrias Creativas;TÉCNICO EN DISEÑO GRÁFICO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=114&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-diseno-grafico.jpg?updatedAt=1738193912993
Arte & Industrias Creativas;TÉCNICO EN LOCUCIÓN Y CONDUCCIÓN DE RADIO Y TELEVISIÓN;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=93&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-locucion-y-conduccion-de-radio-y-television.jpg?updatedAt=1738193912765
Arte & Industrias Creativas;TÉCNICO EN MARKETING DIGITAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=126&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-marketing-digital.jpg?updatedAt=1738193913065
Arte & Industrias Creativas;TÉCNICO EN PRODUCCIÓN AUDIOVISUAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=101&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-produccion-audiovisual.jpg?updatedAt=1738193913297
Arte & Industrias Creativas;TÉCNICO EN SONIDO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=105&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
Desarrollo Social & Educación;ADMINISTRACIÓN PÚBLICA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=123&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/administracion-publica.jpg?updatedAt=1738198961722
Desarrollo Social & Educación;ASISTENTE DE PÁRVULOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=5&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;"
"
Desarrollo Social & Educación;PSICOPEDAGOGÍA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=55&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/psicopedagogia.jpg?updatedAt=1738198962268
